"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852da""}",Tweet_id:1234684628524421120,"created_at:""Tue Mar 03 03:38:49 +0000 2020""","rawtext:""#domain #domainnames #domainnameforsale #domaininvest #pharmacy \n\nfor pharma to pick up\n\nCoronaImmunization .com\nCoronaInoculation .com\n\nBIN available.""","text:""domain domainnames domainnameforsale domaininvest pharmacy for pharma to pick up CoronaImmunization .com CoronaInoculation .com BIN available.""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852d7""}",Tweet_id:1234684224583557120,"created_at:""Tue Mar 03 03:37:13 +0000 2020""","rawtext:""this is how to show a loved one you care: When did you begin feeling like this? #mentalhealth #depression""","text:""this is how to show a loved one you care: When did you begin feeling like this? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852dc""}",Tweet_id:1234684926550609921,"created_at:""Tue Mar 03 03:40:00 +0000 2020""","rawtext:""Skype #Therapy for the treatment of #Anxiety #Depression #OCD #addiction #PTSD through Mindfulness Therapy. See:_https://t.co/JSi5A31azF_ #onlinetherapy""","text:""Skype Therapy for the treatment of Anxiety Depression OCD addiction PTSD through Mindfulness Therapy. See: ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852db""}",Tweet_id:1234684833361793024,"created_at:""Tue Mar 03 03:39:38 +0000 2020""","rawtext:""What questions do you have about mental illness?! #Alzheimers #autism #Mentalhealth #mentalillness #MentalHealthMatters #schizophrenia #depression #anxiety #BPD #addiction #bipolardisorder #BeKind #DID #OCD https://t.co/EnXhhl7o7d""","text:""What questions do you have about mental illness?! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852dd""}",Tweet_id:1234685050215514113,"created_at:""Tue Mar 03 03:40:29 +0000 2020""","rawtext:""Wondering if all of these stores that are sold out of hand sanitizer and masks are also out of soap?\n#pharmacy #backtobasics https://t.co/ejbvGYy8nd""","text:""Wondering if all of these stores that are sold out of hand sanitizer and masks are also out of soap? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852de""}",Tweet_id:1234686053161717760,"created_at:""Tue Mar 03 03:44:29 +0000 2020""","rawtext:""there is a sadness in my heart\nfor those who suffer in silence\nplease reach out\nyou are not alone\n\n#addiction\n#depression\n#anxiety""","text:""there is a sadness in my heart for those who suffer in silence please reach out you are not alone ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852df""}",Tweet_id:1234686097021644800,"created_at:""Tue Mar 03 03:44:39 +0000 2020""","rawtext:""Please Retweet - #Depression is REAL. Listen to men share real stories about how debilitating it can be and gain hope needed to recover https://t.co/XMyYSdQqqS A new episode every other Sunday! Don't miss a single episode! Subscribe/Follow TODAY and help #EndTheStigma!""","text:""Please Retweet - Depression is REAL. Listen to men share real stories about how debilitating it can be and gain hope needed to recover A new episode every other Sunday! do not miss a single episode! Subscribe/Follow TODAY and help ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e0""}",Tweet_id:1234686162310225921,"created_at:""Tue Mar 03 03:44:55 +0000 2020""","rawtext:""Personal stories are POWERFUL! Mental Health stories allow others to see they are not alone. Stories also give others the courage needed to reach out for help. Hear these #men share their stories of #depression and/or other mental illnesses! https://t.co/QtaxcUPGon Please RT!""","text:""Personal stories are POWERFUL! Mental Health stories allow others to see they are not alone. Stories also give others the courage needed to reach out for help. Hear these men share their stories of depression and/or other mental illnesses! Please RT!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e1""}",Tweet_id:1234686188713324545,"created_at:""Tue Mar 03 03:45:01 +0000 2020""","rawtext:""#Mindfulness Therapy via Skype for the treatment of #OCD obsessive intrusive thoughts and traumatic memories and memory images. Email me to learn more. Go to:_https://t.co/e4DyZMT248_#OCDrecovery #OCDawareness #anxiety #depression #therapy""","text:""Mindfulness Therapy via Skype for the treatment of OCD obsessive intrusive thoughts and traumatic memories and memory images. Email me to learn more. Go to: ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e4""}",Tweet_id:1234686430489657344,"created_at:""Tue Mar 03 03:45:59 +0000 2020""","rawtext:""The Catch-22 of #Depression https://t.co/IF2LpSi5rX Learn just how debilitating depression can be. Everything you need to do in order to recover is compromised the the very symptoms of the illness! Blogging to help #EndTheStigma &amp; #StopSuicide #MentalHealth Please Retweet! https://t.co/WakKsuQFQx""","text:""The Catch-22 of Depression Learn just how debilitating depression can be. Everything you need to do in order to recover is compromised the the very symptoms of the illness! Blogging to help EndTheStigma &amp; StopSuicide MentalHealth Please Retweet!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e5""}",Tweet_id:1234686758119325697,"created_at:""Tue Mar 03 03:47:17 +0000 2020""","rawtext:""__Most happiest depressed person you__l ever meet__ #depression #anxiety #happy #thisisme https://t.co/DPPfRiDzac""","text:""Most happiest depressed person you will ever meet ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e3""}",Tweet_id:1234686410172403712,"created_at:""Tue Mar 03 03:45:54 +0000 2020""","rawtext:""#MEN...This is NOT prostate cancer. There is no \""Wait and See\"" option for treatment of #depression. Reach out for the help you need! You do not have to suffer alone. #OktoNOTbeOK #NoShame #EndTheStigma https://t.co/i7XHUY1GXq""","text:""MEN..This is NOT prostate cancer. There is no \""Wait and See\"" option for treatment of depression. Reach out for the help you need! You do not have to suffer alone. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e2""}",Tweet_id:1234686209340739584,"created_at:""Tue Mar 03 03:45:06 +0000 2020""","rawtext:""Reflecting tonight \n\n#poems #poetry #sleepysadpoet #sad #depression #bpd #alcohol #daddyissues #poetrycommunity #poetsofinstagram #writingcommunity #writinglife https://t.co/tlVUyLGo6i""","text:""Reflecting tonight ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e7""}",Tweet_id:1234687746897256448,"created_at:""Tue Mar 03 03:51:12 +0000 2020""","rawtext:""@brennan_2022 i__ so oblivious when i__ by myself lol #socialanxiety""","text:""I am so oblivious when I am by myself lol ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e6""}",Tweet_id:1234687746456915968,"created_at:""Tue Mar 03 03:51:12 +0000 2020""","rawtext:""I always forget how much #water is my favorite form of #therapy. #depression #anxiety and #bipolardisorder can get me down and them I remember how much better I feel after a good long cry in a hot shower. \n\nJust reaffirms my need to live that #LakeLife""","text:""I always forget how much water is my favorite form of therapy. depression anxiety and bipolardisorder can get me down and them I remember how much better I feel after a good long cry in a hot shower. Just reaffirms my need to live that ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e8""}",Tweet_id:1234687968369106944,"created_at:""Tue Mar 03 03:52:05 +0000 2020""","rawtext:""#Sweet #shy BRADLEY needs a loving home!!  Please #adopt or #rescue !  #Marietta #Georgia #cats \n#adoptacat #adoptablackcat https://t.co/jXObvvjy31""","text:""Sweet shy BRADLEY needs a loving home!! Please adopt or rescue ! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852ea""}",Tweet_id:1234688183012511744,"created_at:""Tue Mar 03 03:52:56 +0000 2020""","rawtext:""Dr. Pachman is back to talk about #depression:\n\n- Guilt", worthlessness = depression," not grief\n- SSRIs first-line if prognosis of months\n- Methylphenidate has rapid effect\n- Need more evidence for ketamine\n- Existential psychotherapy works\n\n#MayoPainPall #HaPC @MayoPallMed""","text:""Dr. Pachman is back to talk about depression: - Guilt", worthlessness = depression," not grief - SSRIs first-line if prognosis of months - Methylphenidate has rapid effect - Need more evidence for ketamine - Existential psychotherapy works ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852e9""}",Tweet_id:1234688037126230025,"created_at:""Tue Mar 03 03:52:22 +0000 2020""","rawtext:""@ThatEricAlper 1. Math. I SUCK at basic math. (Oddly", though, I'm GREAT at algebra.)\n\n2. Drawing. It's a good thing I'm a writer.\n\n3. Dealing with people. #socialanxiety\n\n4. Chess. I have no business loving a strategy-based game," when I'm an intuitive thinker.""","text:""1. Math. I SUCK at basic math. (Oddly", though, I am GREAT at algebra.) 2. Drawing. it is a good thing I am a writer. 3. Dealing with people. socialanxiety 4. Chess. I have no business loving a strategy-based game," when I am an intuitive thinker.""}",,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852ee""}",Tweet_id:1234688606641381376,"created_at:""Tue Mar 03 03:54:37 +0000 2020""","rawtext:""If someone has the courage &amp; trust to share their struggles of #depression or #suicide ideation with you", PLEASE," please be there to listen &amp; support them! You may be the only person with whom they've been able to open up to. It isn't easy to reach out! Please Retweet!""","text:""If someone has the courage &amp; trust to share their struggles of depression or suicide ideation with you", PLEASE," please be there to listen &amp; support them! You may be the only person with whom they have been able to open up to. It is not easy to reach out! Please Retweet!""}",,,,,,
"{""_id"":{""$oid"":""5e6bf46ab0d40b1f9dc852ed""}",Tweet_id:1234688431822761984,"created_at:""Tue Mar 03 03:53:56 +0000 2020""","rawtext:""5 Chinese Stocks Into Pharmacies https://t.co/SeFDXjdUnX #China #Pharmacy #Stocks #Investment #pharmaceuticals #pharmacies #drugstores #biotechnology #Healthcare #retail #IoT #BigData #HongKong #dividends""","text:""5 Chinese Stocks Into Pharmacies ""}",,,,,,,,,,
